Name,Type,Latitude,Longtitude
Menyuban,Lake,833.704,112.517721
Sentarum,Lake,880.989,112.119228
Biru Pasir Panjang,Lake,-2.528.781,111.633551
Seluluk,Lake,-2.133.601,112.127935
Sembuluh,Lake,-2.564.243,112.365.123
Sampiding Tangkarobah,Lake,-1.816.053,112.514872
Salju,Lake,-2.351.639,112.845895
Jalan Pangen,Lake,-2.068.116,113.523704
Biru,Lake,-3.233.310,114.698048
Sari Embun,Lake,-3.422.147,114.918730
Sanggu,Lake,-1.540.319,114.902967
Laet,Lake,3.777,109.917524
Belida,Lake,683.041,112.665485
Genali,Lake,768.727,112.254916
Bekuan,Lake,743.314,112.188731
Tang,Lake,635.293,112.468282
Jempang,Lake,-430.542,116.190797
Melintang,Lake,-290.187,116.331794
PT Kaltim Prima Coal (KPC),Coal Area,599.101,117.473317
PT Berau Coal,Coal Area,1.993.711,117.383179
PT IDEO JAYA AGUNG,Coal Area,-1.907.918,115.862892
PT Adaro Indonesia,Coal Area,-2.200.280,115.533992
PT Arutmin Indonesia,Coal Area,-3.454.214,116.004832
PT Eka Tambang Utama,Coal Area,1.039.632,109.227316
Coal Mine DMC,Coal Area,-3.255.753,114.984511
PT. Tajahantang Mineral,Coal Area,-1.142.000,113.906183
PT. AKT DAMPARAN,Coal Area,-2.005.957,114.847521
PT. BIMA,Coal Area,-988.810,114.416581
Mt Muro Gold Mine,Coal Area,330.041,115.487517
Trubaindo Coal Mining.PT,Coal Area,-311.453,115.853539
PT.BAR site Kedap Sayaaq Kubar Project,Coal Area,1.378,115.694796
PT. Saptaindra Sejati Hauling Integrated Area,Coal Area,-310.254,114.831617
